date,tweet,language,hashtags
2022-02-24,"@scharap @lrozen The only option is for #Ukraine to sign a deal never to join a military alliance. The borderland is a prisoner of geography, I though #RAND knew the rules of #geopolitics?",en,"['ukraine', 'rand', 'geopolitics']"
2022-02-24,"The Ukrainian father, who wished to remain anonymous, could be seen breaking down as he hugged his young daughter and placed his hat on her head. War brings us tales of woe! #Ukraine  #Russian  #Life  https://t.co/lTz2r0D0Ly",en,"['ukraine', 'russian', 'life']"
2022-02-24,The Russian people aren’t looking for war either!  #peacewillwin #peace #ukraine #nowar #russia #protest   https://t.co/IrY7V6UUfK,en,"['peacewillwin', 'peace', 'ukraine', 'nowar', 'russia', 'protest']"
2022-02-24,"Joe, saw this tonight. Billionaire 'Heinz-Kerry' appeals to #Putin to save #ClimateChange. 😳 #JohnKerry #Biden #Ukraine",en,"['putin', 'climatechange', 'johnkerry', 'biden', 'ukraine']"
2022-02-24,It's hard to respect the Freedom Convoy in Canada when there's this going on. You are all so petty. A bunch of snowflakes. An embarrassment for the whole world to see. Pack it up and go home. #FreedomConvoyCanada2022  #Ukraine,en,"['freedomconvoycanada2022', 'ukraine']"
2022-02-24,#Ukraine  need actions EU!!  https://t.co/Ro6NDsQFik,en,['ukraine']
2022-02-24,@UNHumanRights @UN_Women what are you doing about humanity in #Ukraine ???  @BBCHindi @NewYorker @nytimes @UN @NATO,en,['ukraine']
2022-02-24,@TheDemocrats Im gonna say: the world being fucking against #putin invading #ukraine is bringing everyone together. Biden is doing what any western leader would do: sanctions.,en,"['putin', 'ukraine']"
2022-02-24,Imagine having to go through this. Never forget how blessed you are to live in a country that is free and never forget that the last guy was and still to this day is infatuated with the reason for all of this.   #Ukraine,en,['ukraine']
2022-02-24,@JackDetsch @Maxar The #USAirForce plane is patrolling the eastern flank of #NATO and the #Ukraine area  https://t.co/XBPu433fqU,en,"['usairforce', 'nato', 'ukraine']"
2022-02-24,A #fire in building after an air attack on #Kyiv.... #Ukraine #UkraineRussiaCrisis #RussiaUkraineConflict #UkraineUnderAttack #RussiaInvadesUkraine  https://t.co/zWvQi227MW,en,"['fire', 'kyiv', 'ukraine', 'ukrainerussiacrisis', 'russiaukraineconflict', 'ukraineunderattack', 'russiainvadesukraine']"
2022-02-24,"""I CAN'T BELIEVE WE HAVE TO FIGHT THIS BASTARD ALONE.""  WE NEED to end this by standing WITH #Ukraine. SHOULDER TO SHOULDER. FUCK YOUR TIPTOEING! @POTUS .",en,['ukraine']
2022-02-24,🚨🇺🇦 Ukrainian Air Defense has confirmed an aircraft has been downed. #Russia #Ukraine #UkraineUnderAttack #UkraineWar #Europe #NATO #EU #US [86]  https://t.co/6TBWDpgyb6,en,"['russia', 'ukraine', 'ukraineunderattack', 'ukrainewar', 'europe', 'nato', 'eu', 'us']"
2022-02-24,The story about the #ghostofkyiv has to be the most badass thing ive read in a long time. #Ukraine,en,"['ghostofkyiv', 'ukraine']"
2022-02-24,RUS Air Force is bombing #UA.#NATO implemented #noflyzone in Balkan &amp; over Libya. NATO no fly zone over #Ukraine gives UA Army chance to defeat the RU Army and save peace in #Europe,en,"['ua', 'nato', 'noflyzone', 'ukraine', 'europe']"
