,date,time,tweet,language,sentimiento
0,25/02/2022,23:59:56,@Cold_Peace_ We are equally enjoying the meltdown of My-Rule- based-world type. Although it was foreseen forewarned numerous times that this would happen if you keep on expanding NATO. Go ahead go on playing you are the hero other is rouge ALWAYS. #WWIII,en,neutro
1,25/02/2022,23:58:24,#BREAKING #UPDATE Reports a ese cargo ship was shelled in the BlackSea #RussiaUkraineConflict #UkraineCrisis #UkraineRussiaCrisis #Russia #WWIII #RussiaUkraineCrisis,en,neutro
2,25/02/2022,23:58:24,Lets help our team in Ukraine fight! #ukraine #russia #WWIII,en,neutro
3,25/02/2022,23:58:11,russia attacked/shot at a japan ship and japan is a nato member… #WWIII,en,neutro
4,25/02/2022,23:57:19,@Astro4Earth Thats all I love about space and exploration...it sorts out everything to focus on the most important : Humanity...thats what should drive us in everything...the preservation of life on the one and only planet we have in stock #UkraineRussia #Poutine #NATO #UkraineWar #WWIII,en,neutro
5,25/02/2022,23:57:10,Russian losses now according to Ukraine's military. 14 airplanes 8 helicopters 102 tanks 536 armored cars 15 artillery pieces 1 BUK-1 system 3500 killed nearly 200 taken prisoner #NATO #Russia #RussiaInvadesUkraine #russianinvasion #russianinvasion #worldwar3 #WWIII,en,neutro
6,25/02/2022,23:56:33,🙏🏽 NATO Delivers Ammunition To Ukraine Disregarding Putins Threats #Ukraine #UkraineRussia #UkraineInvasion #UkraineRussiaCrisis #UkraineUnderAttack #worldwar3 #WorldWarIII #WWIII,en,neutro
7,25/02/2022,23:56:32,@timjudah1 #WWIII #worldwar3 #UkraineInvasion #UkraineWar Are you in Kyiv? To anyone in Ukraine who sees this I cant imagine what this is like; however let me say I can share tears and war anxiety with you. I am not underground; but the threat of nuclear attack here in the USA by Putin,en,neutro
8,25/02/2022,23:55:37,57/365 Never stop learning; learn from books; learn from others; learn by serving others; learn from experience. Be humble be a lifelong learner for its by so doing that youll excel in every field of life. #inspirationaltheater #impact365 #2022Goals Putin China #WWIII Accra,en,neutro
9,25/02/2022,23:55:33,The military capabilities of Russia and Ukraine. #RussiaUkraineConflict #WWIII #Russian #Ukraine #VladimirPutin #Putin,en,neutro
10,25/02/2022,23:55:23,#RussiaUkraineWar: Two young Ukrainian children sending off soldiers to fight the Russians. #WWIII #worldwar3 #WorldWarIII #UkraineRussiaCrisis #UkraineConflict #RussiaUkraineConflict #RussiaUkraineWar #UkraineWar #russianinvasion #UkraineInvasion,en,neutro
11,25/02/2022,23:55:06,Furious Putin prepares to use 'father of all bombs' as brave Ukrainians hold up advance #UnitedIsPink #WWIII #WW3 #StopPutin #StopWar #Putin #PutinsWar #Ukraine #Ukrainian #Kiew #KIEV #Ukrania #Zelenskyy,en,neutro
12,25/02/2022,23:54:52,@MikeSington On September 1 1939 the German army under Adolf Hitler launched an invasion of Poland that triggered the start of World War II. On February 24 2022 …Putin launched an invasion of Ukraine. #WWIII #Ukraine #PutinIsaWarCriminal #PrayingForUkraine,en,neutro
13,25/02/2022,23:54:37,I keep seeing videos of people who want to take note of whats happening heres your reminder that the glass can break. Stay away from windows when you hear enemy fire. #StaySafe #UkraineUnderAttack #WWIII #PutinsWar,en,neutro
14,25/02/2022,23:54:27,@media who creat propoganda against President Putin and Russia First check history and #US record regarding japan and other Muslim country #WWIII,en,neutro
15,25/02/2022,23:53:58,#peace is the only solution. Lets #PrayForUkraine #StopPutin #StopRussia #यूक्रेन #WWIII #worldwar3 #UNO,en,neutro
16,25/02/2022,23:53:20,It is inaccurate to describe nuclear apocalypse as a nuclear exchange since it ensures the destruction of the vast majority if not all of humankind & lifekind. Why havent we gotten rid of nuclear weapons by now to prevent this very situation which we now all face? #WWIII,en,neutro
17,25/02/2022,23:53:17,If you: Support Ukraine But not Palestine Syria Lebanon and Iraq. If you condemn #Russia But not #Israel and US. Then congratulations mate you are on the highest tier of hypocrisy. RT=Agree #RussiaUkraineConflict #No_WAR #WWIII #الحرب_الروسيه_الاوكرانية #RussiaUkraineWar,en,neutro
18,25/02/2022,23:52:56,For those who still think we're on the brink of #WWIII #worldwar3,en,neutro
19,25/02/2022,23:52:35,Damn fuckin true.. #WWIII #worldwar3,en,positivo
20,25/02/2022,23:52:25,Remember its not just the ongoing conflict of Ukraine. #UkraineandRussia #WWIII,en,neutro
21,25/02/2022,23:52:02,It seems this 6th game of second set is going on since #WWIII started #acapulcoopen #nadal,en,neutro
22,25/02/2022,23:52:02,#WWIII OMG ITS STARTING DID YOU SEE WHAT NATO DID??? #BidenIsADisgrace #BidenIsAFailure #BidenBorderCrisis #UkraineUnderAttack #ukraine #USA,en,neutro
23,25/02/2022,23:51:58,If e sure for Putin's him go one on one with zeleensky no soldiers nothing nothing let's see na😒😒 #putin #WWIII #NairaMarley,en,neutro
24,25/02/2022,23:51:57,Stay strong putin #worldwar3 #WWIII #WARINUKRAINE,en,neutro
25,25/02/2022,23:51:50,.@ZelenskyyUa is a Leader showing 🌏 what a leader looks like The #US @SenateDems @HouseDemocrats @POTUS @DNC have some #SoulSearching to do after giving up space for @SenateGOP @HouseGOP to emulate their hero #VladPutin a thug choosing to start what cld easily become #WWIII,en,neutro
26,25/02/2022,23:51:36,His Holiness Hazrat Mirza Masroor Ahmad ABA writes this letter in 18 September 2013 to Mr Vladimir Putin President of the Russian Ferderation. #RussiaUkraineConflict #RussiaUkraineWar #WWIII,en,neutro
27,25/02/2022,23:51:17,"Heres the statements of ""Vladimir Putin"" Putin and Russia Listen now so that you dont regret laterrrrr You will love those quotes. #Russia #WWIII #Putin Vladimir Putin #UkraineInvasion ...",en,neutro
28,25/02/2022,23:51:10,#chosenonesnft is praying for Ukraine and our friends that live there. Russias attack is senseless and we need to help! Two 1 of 1 Special NFTs from the 10k will be auctioned with 100% being donated to Please like and retweet! #ukraine #russia #WWIII,en,neutro
29,25/02/2022,23:51:00,Biden deploying 7000 more US troops to Europe via @amermilnews #UkraineInvasion #DemocratsAreADisaster #military #WWIII Great job @JoeBiden @KamalaHarris @AOC oh wait forgot you are #PutinsPuppets,en,neutro
30,25/02/2022,23:50:32,just in case the #WWIII happens EVs will go mainstream. mark these words.,en,neutro
31,25/02/2022,23:50:29,We dont even remember that our country is in a economical crisis all we want is the WWIII #WW3 #WWIII #SriLanka,en,neutro
32,25/02/2022,23:50:11,Why does it feel as though there is an increasing appetite for direct confrontation between US & Russia? Do we all understand it is unthinkable in terms of the risk of it escalating into nuclear apocalypse? #NoWarWithUkraine #RussiaUkraineWar #WWIII #nuclearweapons #nuclearwar,en,neutro
33,25/02/2022,23:49:54,President Zelensky is a hero staying put and defending against evil. #Hero #UkraineWar #WWIII,en,neutro
34,25/02/2022,23:49:45,War is not The Solution of Any Thing For Peace Talking Is the best Solution Of any Conflict Resolving Not the War . #no_war #NoMoreWar #StopTheWar #WWIII #worldwar3,en,neutro
35,25/02/2022,23:48:26,We Condemn war everywhere #UkraineUnderAttack #Ukraine #UkraineRussia #worldwar3 #UnitedNations #Putin #WWIII #worldwar3,en,neutro
36,25/02/2022,23:48:07,#worldwar3 #WWIII #UkraineInvasion #UkraineWar #Ukraina its no laughing matter; however polictal comedy existed during the other two world wars so might as well after all this serious crap develpoping amd posting about it. Putin is soooo honest! Lol!,en,neutro
37,25/02/2022,23:47:44,Two Ukrainian kids seen paying their respect to Ukraine troops heading to the war front. True patriotism Ukraine⚔️ #Kiev #worldwar3 #Putin #Ukraine #UkraineRussiaConflict #WWIII #RussiaUkraineConflict #NATO,en,neutro
38,25/02/2022,23:47:41,now what is this 💀 #WWIII,en,neutro
39,25/02/2022,23:47:14,@BartSim28514897 @AgeOfSecrecy @PaulSonne #WWIII coming soon #nuclearwar possible We have family nuclear survival plans at Family Disaster Network navigate 8 pages please public domain information Putin is unhinged big time,en,neutro
40,25/02/2022,23:46:57,A letter found in the pocket of one of the dead soldiers 1939 #stopwar #WWIII,en,neutro
41,25/02/2022,23:46:56,Ukrainians should not be left to die. If Russia does not respond the tyrant will grow stronger. Stand up for freedom!! Stand up for Ukraine! #Poutine #kiev #kiew #Trump #PutinIsaWarCriminal #IStandWithUkraine #UkraineInvasion #WWIII #NATO #Putin #Ukraine #UkraineUnderAttack #EU,en,neutro
42,25/02/2022,23:46:19,This #RussiaUkraineWar needs some #diversity If they can't get their shit together and represent everyone I think we should #cancel this immediately. And I as an individual demand that my voice is heard!!! #WWIII,en,neutro
43,25/02/2022,23:45:46,"Well this aged well. He knew. Never put all of your eggs in one basket and never give your ""power"" away. 🤷🏻‍♀️ #Trump #Russia #Germany #RussiaUkraineConflict #Ukraine #Putin #pipeline #oilandgas @MELANIATRUMP #WWIII #power #money #RussiaUkraine #makeamericagreatagain #sanctions",en,neutro
44,25/02/2022,23:45:08,Trump wouldn't have allowed Russian invasion of Ukraine happened. USA and NATO gave Ukraine false assurances. Not criticizing Ukraine/Biden or praising Russian/Trump but the Trump guy is good at avoiding/preventing unnecessary wars #China www2 #WWIII #Gaddafi,en,neutro
45,25/02/2022,23:45:00,In these days when #UkraineUnderAttack there is #UkraineWar when #RussiaInvadesUkraine when were face to face of starting #WWIII #WW3 #worldwar3 #WorldWarIII #WorldWarThree #WorldWar - it seems nonsense tweet like or share other tweets.. #WeStandWithUkraine 💪🏻✊❤,en,neutro
46,25/02/2022,23:44:30,"Russian Tennis star Andrey Rublev appeal ""No War Please"" #RussiaUkraineWar #StopWar #WWIII",en,neutro
47,25/02/2022,23:44:15,get in loser we're going looting #WWIII,en,neutro
48,25/02/2022,23:43:08,Furious Putin prepares to use 'father of all bombs' as brave Ukrainians ... via @YouTube #UnitedIsPink #WWIII #WW3 #StopPutin #StopWar #Putin #PutinsWar #Ukraine #Ukrainian #Kiew #KIEV #Ukrania,en,neutro
49,25/02/2022,23:43:02,Russia breaks international law and whole world goes mad when Israel broke international law no one Bats an eyelid #WWIII #UkraineWar #RussiaUkraineWar,en,neutro
50,25/02/2022,23:41:19,#RusiaVsUcrania #UkraineUnderAttack #Simpsons Predictions #WWIII 🪖,en,neutro
51,25/02/2022,23:40:00,Russia-Ukraine Conflict: Sikh community steps forward serves 'Guru ka langar' on a train to war stricken people Read here: #Ukraine #Russia #Putin #WWIII #worldwar3 #UkraineRussia #RussiaUkraineConflict #Kyiv #Worldwar3 #India #GuruKaLangar #Langar,en,neutro
52,25/02/2022,23:39:49,Hadnt been American voted for Donald Trump Putin will not be allowed to invade Ukraine. Now you have chosen Joe Biden that is lacking of democracy. The sleeping president.. NATO #BidenIsADisgrace #BlackShinesBrightest Putin & Trump #GOPTraitorsToDemocracy #WWIII #JoeBiden,en,neutro
53,25/02/2022,23:39:42,Ummm why is there still school when WWE is literally happening right now? *posts image of black person doing something* #wwe #wwIII #schoolsux,en,neutro
54,25/02/2022,23:39:40,.@POTUS it's time to step up and get in the game your lack of leadership in helping to prevent #WWIII will be remembered. Prove us wrong 💪,en,neutro
55,25/02/2022,23:39:32,Please dont do that 😥 #UnitedNations #UkraineUnderAttack #Ukraine #UkraineRussia #worldwar3 #UnitedNations #Putin #WWIII #worldwar3,en,neutro
56,25/02/2022,23:39:25,Why do people only doubts God in difficult times 🤦🏾‍♂️ Davido Wizkid Ukraine Russia #WWIII WWIII,en,neutro
