,date,time,tweet,language
0,25/02/2022,23:59:56,cold_peace_ equally enjoying meltdown myrule basedworld type although foreseen forewarned numerous times would happen keep expanding nato go ahead go playing hero rouge always wwiii,en
1,25/02/2022,23:58:24,breaking update reports 🇯🇵ese cargo ship shelled blacksea russiaukraineconflict ukrainecrisis ukrainerussiacrisis russia wwiii russiaukrainecrisis,en
2,25/02/2022,23:58:24,lets help team ukraine fight ukraine russia wwiii,en
3,25/02/2022,23:58:11,russia attackedshot japan ship japan nato member… wwiii,en
4,25/02/2022,23:57:19,astro4earth thats love space explorationit sorts everything focus important humanitythats drive us everythingthe preservation life one planet stock ukrainerussia poutine nato ukrainewar wwiii,en
5,25/02/2022,23:57:10,russian losses according ukraines military 14 airplanes 8 helicopters 102 tanks 536 armored cars 15 artillery pieces 1 buk1 system 3500 killed nearly 200 taken prisoner nato russia russiainvadesukraine russianinvasion russianinvasion worldwar3 wwiii,en
6,25/02/2022,23:56:33,🙏🏽 nato delivers ammunition ukraine disregarding putins threats ukraine ukrainerussia ukraineinvasion ukrainerussiacrisis ukraineunderattack worldwar3 worldwariii wwiii,en
7,25/02/2022,23:56:32,timjudah1 wwiii worldwar3 ukraineinvasion ukrainewar kyiv anyone ukraine sees cant imagine like; however let say share tears war anxiety underground; threat nuclear attack usa putin,en
8,25/02/2022,23:55:37,57365 never stop learning; learn books; learn others; learn serving others; learn experience humble lifelong learner youll excel every field life inspirationaltheater impact365 2022goals putin china wwiii accra,en
9,25/02/2022,23:55:33,military capabilities russia ukraine russiaukraineconflict wwiii russian ukraine vladimirputin putin,en
10,25/02/2022,23:55:23,russiaukrainewar two young ukrainian children sending soldiers fight russians wwiii worldwar3 worldwariii ukrainerussiacrisis ukraineconflict russiaukraineconflict russiaukrainewar ukrainewar russianinvasion ukraineinvasion,en
11,25/02/2022,23:55:06,furious putin prepares use 'father bombs' brave ukrainians hold advance unitedispink wwiii ww3 stopputin stopwar putin putinswar ukraine ukrainian kiew kiev ukrania zelenskyy,en
12,25/02/2022,23:54:52,mikesington september 1 1939 german army adolf hitler launched invasion poland triggered start world war ii february 24 2022 …putin launched invasion ukraine wwiii ukraine putinisawarcriminal prayingforukraine,en
