date,time,tweet,language
25/02/2022,23:59:56,we are equally enjoying the meltdown of my rule based world type although it was foreseen forewarned numerous times that this would happen if you keep on expanding nato go ahead go on playing you are the hero other is rouge always wwiii,en
25/02/2022,23:58:24,breaking update reports a ese cargo ship was shelled in the blacksea russiaukraineconflict ukrainecrisis ukrainerussiacrisis russia wwiii russiaukrainecrisis,en
25/02/2022,23:58:24,lets help our team in ukraine fight ukraine russia wwiii,en
25/02/2022,23:58:11,russia attacked/shot at a japan ship and japan is a nato member wwiii,en
25/02/2022,23:57:19,thats all i love about space and exploration it sorts out everything to focus on the most important humanity thats what should drive us in everything the preservation of life on the one and only planet we have in stock ukrainerussia poutine nato ukrainewar wwiii,en
25/02/2022,23:57:10,russian losses now according to ukraines military 14 airplanes 8 helicopters 102 tanks 536 armored cars 15 artillery pieces 1 buk 1 system 3 500 killed nearly 200 taken prisoner nato russia russiainvadesukraine russianinvasion russianinvasion worldwar3 wwiii,en
25/02/2022,23:56:33,🙏🏽 nato delivers ammunition to ukraine disregarding putins threats ukraine ukrainerussia ukraineinvasion ukrainerussiacrisis ukraineunderattack worldwar3 worldwariii wwiii,en
25/02/2022,23:56:32,wwiii worldwar3 ukraineinvasion ukrainewar are you in kyiv to anyone in ukraine who sees this i cant imagine what this is like; however let me say i can share tears and war anxiety with you i am not underground; but the threat of nuclear attack here in the usa by putin,en
25/02/2022,23:55:37,57/365 never stop learning; learn from books; learn from others; learn by serving others; learn from experience be humble be a lifelong learner for its by so doing that youll excel in every field of life inspirationaltheater impact365 2022goals putin china wwiii accra,en
25/02/2022,23:55:33,the military capabilities of russia and ukraine russiaukraineconflict wwiii russian ukraine vladimirputin putin,en
25/02/2022,23:55:23,russiaukrainewar two young ukrainian children sending off soldiers to fight the russians wwiii worldwar3 worldwariii ukrainerussiacrisis ukraineconflict russiaukraineconflict russiaukrainewar ukrainewar russianinvasion ukraineinvasion,en
25/02/2022,23:55:06,furious putin prepares to use father of all bombs as brave ukrainians hold up advance unitedispink wwiii ww3 stopputin stopwar putin putinswar ukraine ukrainian kiew kiev ukrania zelenskyy,en
25/02/2022,23:54:52,on september 1 1939 the german army under adolf hitler launched an invasion of poland that triggered the start of world war ii on february 24 2022 putin launched an invasion of ukraine wwiii ukraine putinisawarcriminal prayingforukraine,en
25/02/2022,23:54:37,i keep seeing videos of people who want to take note of whats happening heres your reminder that the glass can break stay away from windows when you hear enemy fire staysafe ukraineunderattack wwiii putinswar,en
25/02/2022,23:54:27,who creat propoganda against president putin and russia first check history and us record regarding japan and other muslim country wwiii,en
25/02/2022,23:53:58,peace is the only solution lets prayforukraine stopputin stoprussia wwiii worldwar3 uno,en
25/02/2022,23:53:20,it is inaccurate to describe nuclear apocalypse as a nuclear exchange since it ensures the destruction of the vast majority if not all of humankind and lifekind why havent we gotten rid of nuclear weapons by now to prevent this very situation which we now all face wwiii,en
25/02/2022,23:53:17,if you support ukraine but not palestine syria lebanon and iraq if you condemn russia but not israel and us then congratulations mate you are on the highest tier of hypocrisy rt=agree russiaukraineconflict no_war wwiii russiaukrainewar,en
25/02/2022,23:52:56,for those who still think were on the brink of wwiii worldwar3,en
25/02/2022,23:52:35,damn fuckin true wwiii worldwar3,en
25/02/2022,23:52:25,remember its not just the ongoing conflict of ukraine ukraineandrussia wwiii,en
25/02/2022,23:52:02,it seems this 6th game of second set is going on since wwiii started acapulcoopen nadal,en
25/02/2022,23:52:02,wwiii omg its starting did you see what nato did bidenisadisgrace bidenisafailure bidenbordercrisis ukraineunderattack ukraine usa,en
25/02/2022,23:51:58,if e sure for putins him go one on one with zeleensky no soldiers nothing nothing lets see na😒😒 putin wwiii nairamarley,en
25/02/2022,23:51:57,stay strong putin worldwar3 wwiii warinukraine,en
25/02/2022,23:51:50,is a leader showing 🌏 what a leader looks like the us have some soulsearching to do after giving up space for to emulate their hero vladputin a thug choosing to start what cld easily become wwiii,en
25/02/2022,23:51:36,his holiness hazrat mirza masroor ahmad aba writes this letter in 18 september 2013 to mr vladimir putin president of the russian ferderation russiaukraineconflict russiaukrainewar wwiii,en
25/02/2022,23:51:17,heres the statements of vladimir putin putin and russia listen now so that you dont regret laterrrrr you will love those quotes russia wwiii putin vladimir putin ukraineinvasion,en
25/02/2022,23:51:10,chosenonesnft is praying for ukraine and our friends that live there russias attack is senseless and we need to help two 1 of 1 special nfts from the 10k will be auctioned with 100% being donated to please like and retweet ukraine russia wwiii,en
25/02/2022,23:51:00,biden deploying 7 000 more us troops to europe via ukraineinvasion democratsareadisaster military wwiii great job oh wait forgot you are putinspuppets,en
25/02/2022,23:50:32,just in case the wwiii happens evs will go mainstream mark these words,en
25/02/2022,23:50:29,we dont even remember that our country is in a economical crisis all we want is the wwiii ww3 wwiii srilanka,en
25/02/2022,23:50:11,why does it feel as though there is an increasing appetite for direct confrontation between us and russia do we all understand it is unthinkable in terms of the risk of it escalating into nuclear apocalypse nowarwithukraine russiaukrainewar wwiii nuclearweapons nuclearwar,en
25/02/2022,23:49:54,president zelensky is a hero staying put and defending against evil hero ukrainewar wwiii,en
25/02/2022,23:49:45,war is not the solution of any thing for peace talking is the best solution of any conflict resolving not the war no_war nomorewar stopthewar wwiii worldwar3,en
25/02/2022,23:48:26,we condemn war everywhere ukraineunderattack ukraine ukrainerussia worldwar3 unitednations putin wwiii worldwar3,en
25/02/2022,23:48:07,worldwar3 wwiii ukraineinvasion ukrainewar ukraina its no laughing matter; however polictal comedy existed during the other two world wars so might as well after all this serious crap develpoping amd posting about it putin is soooo honest lol,en
25/02/2022,23:47:44,two ukrainian kids seen paying their respect to ukraine troops heading to the war front true patriotism ukraine⚔ kiev worldwar3 putin ukraine ukrainerussiaconflict wwiii russiaukraineconflict nato,en
25/02/2022,23:47:41,now what is this 💀 wwiii,en
25/02/2022,23:47:14,wwiii coming soon nuclearwar possible we have family nuclear survival plans at family disaster network navigate 8 pages please public domain information putin is unhinged big time,en
25/02/2022,23:46:57,a letter found in the pocket of one of the dead soldiers 1939 stopwar wwiii,en
25/02/2022,23:46:56,ukrainians should not be left to die if russia does not respond the tyrant will grow stronger stand up for freedom stand up for ukraine poutine kiev kiew trump putinisawarcriminal istandwithukraine ukraineinvasion wwiii nato putin ukraine ukraineunderattack eu,en
25/02/2022,23:46:19,this russiaukrainewar needs some diversity if they cant get their shit together and represent everyone i think we should cancel this immediately and i as an individual demand that my voice is heard wwiii,en
25/02/2022,23:45:46,well this aged well he knew never put all of your eggs in one basket and never give your power away 🤷🏻‍♀ trump russia germany russiaukraineconflict ukraine putin pipeline oilandgas wwiii power money russiaukraine makeamericagreatagain sanctions,en
25/02/2022,23:45:08,trump wouldnt have allowed russian invasion of ukraine happened usa and nato gave ukraine false assurances not criticizing ukraine/biden or praising russian/trump but the trump guy is good at avoiding/preventing unnecessary wars china www2 wwiii gaddafi,en
25/02/2022,23:45:00,in these days when ukraineunderattack there is ukrainewar when russiainvadesukraine when were face to face of starting wwiii ww3 worldwar3 worldwariii worldwarthree worldwar it seems nonsense tweet like or share other tweets westandwithukraine 💪🏻✊❤,en
25/02/2022,23:44:30,russian tennis star andrey rublev appeal no war please russiaukrainewar stopwar wwiii,en
25/02/2022,23:44:15,get in loser were going looting wwiii,en
25/02/2022,23:43:08,furious putin prepares to use father of all bombs as brave ukrainians via unitedispink wwiii ww3 stopputin stopwar putin putinswar ukraine ukrainian kiew kiev ukrania,en
25/02/2022,23:43:02,russia breaks international law and whole world goes mad when israel broke international law no one bats an eyelid wwiii ukrainewar russiaukrainewar,en
25/02/2022,23:41:19,rusiavsucrania ukraineunderattack simpsons predictions wwiii 🪖,en
25/02/2022,23:40:00,russia ukraine conflict sikh community steps forward serves guru ka langar on a train to war stricken people read here ukraine russia putin wwiii worldwar3 ukrainerussia russiaukraineconflict kyiv worldwar3 india gurukalangar langar,en
25/02/2022,23:39:49,hadnt been american voted for donald trump putin will not be allowed to invade ukraine now you have chosen joe biden that is lacking of democracy the sleeping president nato bidenisadisgrace blackshinesbrightest putin and trump goptraitorstodemocracy wwiii joebiden,en
25/02/2022,23:39:42,ummm why is there still school when wwe is literally happening right now posts image of black person doing something wwe wwiii schoolsux,en
25/02/2022,23:39:40,its time to step up and get in the game your lack of leadership in helping to prevent wwiii will be remembered prove us wrong 💪,en
25/02/2022,23:39:32,please dont do that 😥 unitednations ukraineunderattack ukraine ukrainerussia worldwar3 unitednations putin wwiii worldwar3,en
25/02/2022,23:39:25,why do people only doubts god in difficult times 🤦🏾‍♂ davido wizkid ukraine russia wwiii wwiii,en
25/02/2022,23:39:23,they got money for wars but cant feed the poor 💔 💔 wwiii stopthewar stopputin russiaukraineconflict ukrainewar ukrainerussiacrisis nowar russia,en
25/02/2022,23:38:58,the ukrainians should be proud of their leader the man was offered to be evacuated by us and he responded with i need ammunition not a ride putin and russia thought it would be easy to take over ukraine think again wwiii ukrainerussia russianinvasion,en
25/02/2022,23:38:57,it makes it really difficult to come together as a nation when the former president and members of praise putingoptraitorstodemocracy gopbetrayedamerica trumpisarussianasset putinisawarcriminal istandwithukraine wwiii is here takeoutputin,en
25/02/2022,23:38:41,wwiii on the making zvadhakwa lets see who will have the laugh,en
25/02/2022,23:37:43,sensex slips over 1 400 points as putin orders troops into ukraine wwiii worldwar3 worldwariii ukrainerussiacrisis ukraineconflict russiaukraineconflict russiaukrainewar ukraineunderattack ukrainewar russianinvasion ukrainerussia ukraineinvasion,en
25/02/2022,23:37:21,its hurting 💔💔💔say no to war 👍 wwiii russiaukrainewar russiaukraine warinukraine worldwariii worldwar3,en
25/02/2022,23:37:06,why trends for ukraine but not for palestine double standards worldwariii wwiii wwiii war,en
25/02/2022,23:36:45,this is heartbreaking i pray for our world 🙏🏽🌎 wwiii,en
25/02/2022,23:36:25,if courage has a face 🏅 worldwar3 wwiii ukraine russiaukraineconflict russia russiaukrainewar,en
25/02/2022,23:35:57,if you support ukraine but not palestine syria lebanon and iraq if you condemn russia but not israel and us then congratulations mate you are on the highest tier of hypocrisy rt=agree russiaukraineconflict worldwar3 wwiii,en
25/02/2022,23:35:52,worldwar3 worldwariii wwiii putin russia ukraine,en
25/02/2022,23:35:49,nato and america will only take military action on weak countries a sanction that will affect russia after years which does not matter to putin nato alliance and america left ukraine alone in this difficult time putin russia ukraine wwiii zelenskiy kiyev nato crisis,en
25/02/2022,23:35:22,🙏🏽 russian captive speaks to his parents from ukraine ukraine ukrainerussia ukraineinvasion ukrainerussiacrisis ukraineunderattack worldwar3 worldwariii wwiii,en
25/02/2022,23:34:53,throw a uniform on putin and make it one on one wwiii,en
25/02/2022,23:34:52,now that conflict has started the best course is to end it early world shall convince russia to restrct itself to donetsk and luhansk regions and leave rest of the ukrain in exchange for relief in sanctions and normalisation ukraineconflict wwiii europe nato usa uno,en
25/02/2022,23:34:45,russia ukraine war live indians evacuated to reach mumbai by 4 pm wwiii worldwar3 worldwariii ukraine ukrainerussiacrisis ukraineconflict russiaukraineconflict russiaukraineconflict russiaukraine russiaukrainewar ukrainecrisis,en
25/02/2022,23:34:00,for the non military civvie crowd now before yall cry havoc for wwiii/ww3 standard acceptable losses (per cdn/nato stds) for an operation to be able to continue/be deemed successful begin at around 20% of the deployed force/collateral population /2,en
25/02/2022,23:33:16,we were so so close to the destruction of our way of life imagine if trump had succeeded ukraine nato wwiii looks like trump rubbed off on putin more than we thought he always brings out the best in everyone btw where is mikeflynn,en
25/02/2022,23:32:32,truth putin just started wwiii hes going to go after ukraine and all surrounding countries he just told us hes going after and are not doing enough they need to act now not months frm now,en
25/02/2022,23:31:52,i am not in favor of war but the atrocities committed by nato and still doing will this injustice not be accounted for wwiii worldwar3 putin ukrainerussia,en
25/02/2022,23:31:01,if big t was still in office this shit wouldnt even be going down right now wwiii,en
25/02/2022,23:29:38,never forget the islamic world 💔 arab palestine syria uyghurs wwiii ww3 iraq irak yemen,en
25/02/2022,23:29:27,some of us werent ahead yall were just behind now youve all woken up when it was just too late we will now all face the repercussions due to your ignorance covid19 ww3 wwiii,en
25/02/2022,23:29:07,just like me arguing with my mother wwiii,en
25/02/2022,23:28:34,germany eagerly awaiting 😍 wwiii,en
25/02/2022,23:28:21,no words ukraine wwiii,en
25/02/2022,23:28:16,meta which is a company owning facebook is moving to bar russia from running their ads on their platforms russiaukraineconflict wwiii unitedwithukraine @,en
25/02/2022,23:27:23,god bless ukrainian heroes 🙄🙄🙄🙄🙄🙄 ukraineinvasion ukrainewar wwiii,en
25/02/2022,23:27:14,usa the real threat to world russiaukraineconflict unitednations wwiii nato unsc,en
25/02/2022,23:27:12,its not wwiii until nato gets involved,en
25/02/2022,23:27:05,russia/china partnership russia/india currency deal pakistan and germany and france somehow involved china/north korea possibly signaling an attack on taiwan canada has almost gone full communist party us border patrol told to beware targeted assassinations wwiii,en
25/02/2022,23:26:51,masculinitysaturday worldwar3 state house ukraine wwiii bidenisadisgrace closethesky,en
25/02/2022,23:26:38,if youre worried or showing concerns for ukrainian have same humanity for palestinian 🇵🇸 and look at israel the same way youre looking at russia westandwithpalestine wwiii,en
25/02/2022,23:26:02,a special flight of airindia ai 1943 lands at bucharest in romania for the evacuation of stranded indians wwiii worldwariii ukrainerussiacrisis ukraineconflict russiaukraineconflict russiaukrainewar ukraineunderattack ukrainewar russianinvasion ukraineinvasion,en
25/02/2022,23:25:56,i think they will stop ww3 like any liquid can over come fire worldwar3 wwiii ukraine russiaukraineconflict russia russiaukrainewar,en
25/02/2022,23:25:27,much as was the case before ww2 the leaders will only appear in the west after wwiii is well underway because they must if we are to survive and ill bet they will be conservatives (no not right wing extremists) who wont care about re election but getting us 2 other side,en
25/02/2022,23:25:24,how long before these are turned into intercontinental ballistic missiles wwiii,en
25/02/2022,23:25:21,history revolves around itself thats why i stand with putin wwiii ww3 worldwariii,en
25/02/2022,23:25:05,grow food and build local supply chains society is crumbling so save yourself and build new systems not much use crying to an abusive system to change for you nwo wef wwiii greatreset convoyforfreedom2022 bidenisadisgrace homesteading protest convoyforfreedom,en
25/02/2022,23:25:03,wwiii sanctions are useless way of saying nato are cowards,en
25/02/2022,23:24:38,breaking update a special flight of airindia ai 1943 lands at bucharest in romania🇷🇴 for the evacuation of stranded indians russiaukraineconflict ukrainecrisis ukrainerussiacrisis russia wwiii russiaukrainecrisis,en
25/02/2022,23:24:28,russiaukrainewar gunfire erupts inside ukrainian capital wwiii worldwar3 worldwariii ukrainerussiacrisis ukraineconflict russiaukraineconflict ukraineunderattack ukrainewar russianinvasion ukrainerussia ukraineinvasion,en
25/02/2022,23:24:19,how many times has ukraine supported india be it kashmir pakistan galwan nuclear test so why support a country who has always been hostile towards us you cannot shake hands with a clenched fist indira gandhi ukrainevsrussia russia wwiii ukraine,en
25/02/2022,23:24:17,0123pm saturday 02/26/2022 (gmt+8) status world is changing chaos everywhere taiwan ukraineinvasion wwiii tweetdaily,en
25/02/2022,23:23:58,groundwater damage since the annexation of crimea the donets coal basin or donbas has faced significant damages it contains active and inactive land mines which are pumped regularly so that the groundwater does not flood them russiaukrainewar wwiii nuclear nature,en
25/02/2022,23:23:11,slavic people are the most racist types of white so idrc that theyre at war with each other their casual racism towards blacks asians and middle easterns are not forgotten worldwar3 wwiii ww3,en
25/02/2022,23:22:32,stopthewar if you support ukraine but not palestine syria lebanon and iraq if you condemn russia but not israel and usa then you are on the highest level of hypocrisy rt=agree wwiii russiaukrainewar russiaukrainewarday3,en
25/02/2022,23:21:05,people we need a stronger president who is willing to take action we need a war against russia they need to learn their place just like germany did in the 40s glorytoukraine standwithukriane fuckrussia wwiii putinhitler,en
25/02/2022,23:18:50,we good yall🙏🏽 wwiii,en
25/02/2022,23:18:43,fucking true wwiii ukranian ukrainewar,en
25/02/2022,23:18:33,you got us into it you go fight wwiii ww3 militarydraft draft,en
25/02/2022,23:18:23,a true leader putinisawarcriminal mr president warinukraine wwiii,en
25/02/2022,23:18:19,its time when we should put aside our petty fights and unite as one alliance and the west what we can do the whole west and even superpower america will kneel before us just a thought wwiii america india russiaukraineconflict,en
25/02/2022,23:18:17,the ukrainians should be proud of their leader the man was offered to be evacuated by us and he responded with i need ammunition not a ride putin and russia thought it would be easy to take over ukraine think again wwiii,en
26/02/2022,23:58:21,trump kept the world in peace and under control despite democrats attacks the globalists bring war and instability always its their high and money laundering scheme and it feeds the god they serve with innocent blood biden just ushered in wwiii call on jesus trumpwasright,en
26/02/2022,23:57:10,ukraine used to be a peaceful country with lovely people not anymore after russia enters ukraine with fireballs now zelensky and the people in ukraine are going to defend those inhumane demons wwiii russiaukrainewar zelensky putinhitler,en
26/02/2022,23:55:46,third story like this today i guess it took the brink of wwiii,en
26/02/2022,23:53:46,the ukrainian president acting like a politician on the campaign trail during war time has everyone creaming their pants wwiii,en
26/02/2022,23:53:19,its incredible seeing this strength in the people of ukraine ❤ a woman and her daughter stand in front of their burning home hit by the russian troops wwiii ukraine ukrainerussia ukrainerussiawar ukrainewar,en
26/02/2022,23:53:08,does realize that the wwiii is on already for 4 days and ukraine is on the frontline natomustbeinukraine saveukrainenow,en
26/02/2022,23:52:50,you are aiding putin by buying his natural gas to make electricity instead of operating your nuclear plants please commit to re opening the three reactors you just closed and to continuing the operation of the three reactors set to close in december germany ukraine wwiii,en
26/02/2022,23:51:46,attention call of duty keyboard commandos this is your chance to show the world wwiii,en
26/02/2022,23:50:13,well weve certainly set the template for if trump ever comes back and starts shit ww3 wwiii,en
26/02/2022,23:49:14,russian troops destroyed commercial oil base near vasylkiv civilians need to evacuate now since the fumes and fires are too big this is an ecological catastrophe not only for ukraine but for the whole of europe europe russiaukraineconflict ukrainerussiawar ukraine wwiii,en
26/02/2022,23:49:08,🚨new streaming series theblackexodus this is a work of fiction exerpt china declares war wwiii chinese watched in horror as the black nurse was gunned down with her baby military leaders from china japan and korea,en
26/02/2022,23:49:05,ukrainerussiawar ukraineunderattack ukrania rusia warinukraine russiaukrainewar wwiii cancel him,en
26/02/2022,23:48:52,february 24th 2022 not from 2018 stop believing some asshole (maria alejandra salomon) from fakebook making shit up say her name olenakurilo russian kyiv ukrainerussiaconflict ukrainerussiacrisis putin russiaukraineconflict kiev wwiii,en
26/02/2022,23:48:02,there is nothing good than peace😪 wwiii russia ukrainerussiawar please stop the war ⚠,en
26/02/2022,23:45:04,no matter which country wins wwiii the internet stays undefeated 😆🤣👏👏👏 putinhitler russia vladimirmcpoyle,en
