term,inpopular freq,popular freq
â tienes,5,0
la,4085,885
medicina,6,1
disco medicina,1,0
a contar,10,11
quiã ©,126,16
gente,139,21
con,1501,269
la colaboraciã³n,1,0
ha colaborado,1,0
el que,145,14
instrumental se,2,0
corte en,1,0
letra para,2,0
© n,231,44
n,486,98
colaboraciã³n vocal,1,0
n ya,3,0
â envã,2,0
corte,6,1
grupo,17,7
a,3894,970
tienes,90,30
â,1357,232
ya ha,5,0
que tambien,1,0
la instrumental,3,0
de jarfaiter,1,0
se,1441,318
medicina denom,1,0
ha vuelto,13,4
que,6471,1480
la letra,4,0
vuelto a,6,2
ha,141,52
el grupo,2,2
envã anosla,2,0
denom,10,1
colaborado,1,0
para,819,152
©,2208,565
machete,3,1
machete corte,1,0
quiã,126,16
ya,842,121
el tema,7,2
participa,1,0
jodida,5,0
nuevo disco,2,0
anteriormente,1,0
anteriormente en,1,0
de,4892,991
tambien participa,1,0
letra,25,4
ya la,6,1
nuevo,50,14
y â,10,3
su nuevo,1,1
contar,32,13
gente jodida,1,0
anosla,2,0
jarfaiter con,1,0
tienes ya,2,0
y,4373,1124
este,304,68
ayãºdanos,2,0
con la,162,24
participa el,1,0
tema,35,4
de la,387,94
ayãºdanos y,2,0
este tema,10,1
en el,590,111
disco,27,4
denom ha,1,0
tambien,7,2
envã,4,2
tema machete,1,0
vocal,1,0
para su,1,0
para este,8,1
en,3256,584
instrumental,4,0
grupo gente,1,0
encarga,2,0
el,3952,965
vocal de,1,0
colaborado anteriormente,1,0
contar con,4,0
su,465,88
narcosbeats,1,0
con quiã,5,0
vuelto,49,7
jarfaiter,1,0
se encarga,2,0
colaboraciã³n,1,0
encarga narcosbeats,1,0
denom x2,3,0
llorar aunque,1,0
vida sin,5,0
frio,7,1
quise,28,8
exterior,2,0
como yo,20,3
cada,280,85
x2 si,2,0
angustia,3,0
o nunca,4,1
no sã,88,37
todo luego,1,0
diluvio,3,0
dejes que,4,4
hay color,2,0
me,2655,562
mi epopeya,1,0
yo que,28,2
no dejes,8,4
incuerdo,3,0
sol el,2,0
me mantengo,2,0
los problemas,7,3
y yo,113,21
gris,16,12
ellos jamã,1,0
freya ya,1,0
veces me,13,1
ruido nunca,1,0
no sonrã,3,0
el dolor,20,9
partiã³ por,1,0
ni siquiera,11,0
as,222,43
ser que,14,0
mundo exterior,1,0
lo quise,2,0
fui como,4,0
quiere mucha,1,0
el del,2,1
partiã³,2,0
no vengas,2,0
mustia la,1,0
la gente,72,7
como el,103,27
puede,108,24
los,1189,291
os,375,83
me he,38,5
color yo,1,1
problemas,32,5
llenar el,3,0
lo,1916,409
siento escalofrã,1,0
sus,174,45
de dos,8,1
ella con,1,0
no creo,35,2
estribillo,600,144
mil veces,3,0
s lo,11,1
dios y,3,3
lluvia y,2,1
oculto mi,1,0
s,1296,302
en dios,4,0
ris sale,1,0
la lluvia,15,2
guardar solo,1,0
no sabes,29,4
ojos,120,30
ellos yo,2,0
estado,45,9
elija a,1,0
n como,2,1
truena como,1,0
dos,151,64
tãº,456,77
que tenã,7,1
si,1348,316
disfrutando viendo,1,0
mil,76,27
polla los,1,0
mierda siento,1,0
mã o,24,6
con los,56,20
no sientan,3,0
principios,6,1
serã,180,41
veo,123,22
una,720,165
pensando en,57,6
cã³mo puedo,1,0
por llenar,3,0
jodo,4,1
tragos,2,1
estã³mago,6,3
tormenta y,1,0
tenã a,17,6
siento solo,3,1
hacer,179,40
se partiã³,1,0
ser perdã,2,0
puedo,165,55
incuerdo si,1,0
es dolor,3,0
es sufrir,3,0
mano en,7,0
si cae,3,1
puedo estar,1,0
de colonia,1,0
a gusto,6,1
ellos,103,23
mi sol,1,0
gris predomina,1,0
como ellos,3,0
sale pero,2,0
encontrarme,8,0
frã o,32,7
hiela como,2,0
y aun,6,6
escondiendo,1,0
nunca fui,9,0
mã,1007,256
sus caras,1,0
el gris,1,0
he perdido,2,2
todo son,2,0
histeria,7,1
en ella,7,0
cuantas veces,9,2
no,4186,833
perdã,30,1
deja,74,19
© hacer,9,9
veo la,5,1
arcoã,2,0
asã fumo,1,0
quiere,84,15
mi,1718,429
yo incuerdo,1,0
demonio,16,1
quã ©,425,88
estribillo denom,3,0
demonio como,1,0
gente triste,1,0
es guardar,1,0
sabes,145,32
si me,81,22
vengas llorar,1,0
calle,79,13
collares mi,1,0
son apariencias,1,0
que allã,1,0
rojos de,1,0
si creyera,1,0
chico no,5,4
la mirada,15,9
mi miseria,2,0
cã³mo,106,23
del estã³mago,1,0
lo escribo,8,0
querã,30,1
viendo sus,1,0
aquã,249,43
otro pero,1,0
el vaciã³,1,0
para encontrarme,1,0
pensando,74,9
como una,29,5
mã s,643,179
sin adornos,1,1
una tenã,1,0
perdido sigo,1,0
color,35,3
la mano,21,7
llorar y,4,1
llorar lo,2,0
siquiera lloro,1,0
dolor,57,19
por,1660,316
veces,123,42
yo quiera,2,0
pero soy,4,2
la polla,17,5
hay,486,101
color el,1,0
lloro si,2,0
perderã as,2,0
vida,554,124
si aquã,3,1
me destruya,1,0
tragos de,1,0
polla,26,6
predomina,1,0
colonia principios,1,0
solo veo,5,1
ojos veo,2,0
el diluvio,2,0
tormenta,8,5
sonrã,27,4
gusto en,1,1
pedã a,3,0
encontrarme cuantas,1,0
escribo,91,12
sientan,7,0
estado cada,1,0
perdido,26,12
me miras,3,1
de llorar,2,0
estar,121,24
de histeria,3,0
ivo incuerdo,1,0
la vida,266,74
creyera lo,1,0
saber quã,3,0
la calle,60,13
incluso,13,2
cada estado,1,0
epopeya,2,0
rojos,3,0
miseria al,1,0
escribo solo,1,0
lo jodo,1,0
elija,2,1
fumo y,1,0
al demonio,4,0
ser,460,80
incuerdo soy,1,0
mustia,2,0
ese vaciã³,2,0
un estado,2,0
ris,2,0
querã a,15,0
soy mã,7,1
adornos chico,1,0
sigo luchando,3,0
y ahora,36,15
jamã,61,8
aunque,182,40
fumo,12,5
solo aunque,1,0
creo,82,8
a tragos,1,0
estado es,1,1
dolor como,2,0
que querã,12,0
ahora es,11,2
ivo,1,0
a no,37,5
es frio,1,0
triste por,3,0
jodo como,1,0
deja oculto,1,0
que es,98,27
es otro,17,0
escalofrã os,3,0
sigo,134,26
incuerdo no,1,0
donde,225,68
a un,64,30
solo recuerdos,2,0
miseria,9,3
ella,115,42
oculto,2,2
todo si,2,0
escondiendo mi,1,0
y la,84,27
dejes,16,6
lo que,767,140
ese,151,44
caras,19,2
x2,169,40
frã,59,12
