,Frequency
wwiii,2364
ukraine,1223
russia,734
putin,551
war,528
nato,367
worldwar3,366
world,313
russiaukrainewar,301
russian,273
russiaukraineconflict,268
ukraineunderattack,250
ukrainerussia,218
us,191
ukrainerussiawar,177
ww3,176
ukrainian,172
people,168
kyiv,159
like,157
worldwariii,154
ukrainewar,153
china,138
🇺,135
one,118
ukraineinvasion,114
nt,109
stop,106
kiev,102
country,100
would,99
i,97
biden,94
🇦,93
ukrainerussiacrisis,89
peace,86
usa,83
time,83
going,81
want,80
president,80
india,76
military,74
go,73
think,73
need,72
know,72
breaking,71
nuclear,71
america,71
