,Frequency,Range,SD,VC,Juilland's D,Rosengren's S,DP,DP norm,KL-divergence,X,Y,Xpos,Ypos
times,25,25,0.1008864538743786,9.810198774744576,0.7724002377300576,0.012666832510897792,0.9867516767409115,0.9867516767409115,6.374631951578541,25,0.012666832510897792,0.2488424456157069,0.06198832617409997
happen,30,30,0.11040068004011985,8.946135105917712,0.7707597846076042,0.013877671384019335,0.9849300322927871,0.9849300322927871,6.302349646172881,30,0.013877671384019335,0.30410482907495817,0.06894857175196785
keep,28,27,0.1104895411189443,9.592859802148341,0.782829698222972,0.021322970695971912,0.9777262565206583,0.9777262565206583,5.623669413222412,28,0.021322970695971912,0.28319281742306346,0.1117462657823271
playing,13,12,0.07836902149969467,14.655007020442904,0.6870392881861325,0.008599391707669431,0.9909745797797458,0.9909745797797458,6.931837145182343,13,0.008599391707669431,0.05063475239805654,0.038607521764570704
hero,15,12,0.09707241885593706,15.7322033492522,0.6278631509139305,0.006033305803644031,0.993210234329717,0.993210234329717,7.573347578959768,15,0.006033305803644031,0.0940091829024556,0.023856931523048866
always,30,30,0.11040068004011985,8.946135105917712,0.7672424068098529,0.014842436200802884,0.9841848141094631,0.9841848141094631,6.180016087265337,30,0.014842436200802884,0.30410482907495817,0.07449431379804947
update,29,28,0.11229268448616032,9.41322468916744,0.8030751936660725,0.012506474912603972,0.9871656868427583,0.9871656868427583,6.3586091699178295,29,0.012506474912603972,0.29382913495787477,0.06106654517649729
🇵,15,13,0.09273806013435283,15.02974827910745,0.6793626845980836,0.007181979713886118,0.9923822141260223,0.9923822141260223,7.213157706275041,15,0.007181979713886118,0.0940091829024556,0.030459835246781707
ukrainecrisis,35,35,0.11912213544200272,8.273883178843104,0.8195399423917699,0.01572552473686698,0.983853606027987,0.983853606027987,6.031686541528324,35,0.01572552473686698,0.35082850853950653,0.07957055739614294
russiaukrainecrisis,48,48,0.1391225985943429,7.045979941309325,0.8440789355260566,0.024101213171071834,0.9749937898484716,0.9749937898484716,5.430841978691159,48,0.024101213171071834,0.4465647841310176,0.12771639222178272
lets,27,25,0.11597976285197088,10.442474203449674,0.7698641687592312,0.013659856052831452,0.9852612403742639,0.9852612403742639,6.310785140289065,27,0.013659856052831452,0.2721696409374011,0.06769650739448327
help,60,55,0.16788559493533833,6.802164688130125,0.8349274763843803,0.02976367525594869,0.9682868261985587,0.9682868261985587,5.172303795461433,60,0.02976367525594869,0.5142004752474606,0.1602658317558012
fight,47,44,0.1463828518046165,7.571419419936653,0.7953090089483132,0.025039631518044895,0.9728409373188694,0.9728409373188694,5.456707494260783,47,0.025039631518044895,0.4401834127086026,0.13311068728010936
japan,14,12,0.085855663038217,14.908222631850395,0.6223840480923852,0.005243917114139866,0.9942038585741476,0.9942038585741476,7.746171787244409,14,0.005243917114139866,0.07309717125056092,0.019319301242666568
that,38,36,0.13050861766110308,8.349117093003725,0.8151997122555978,0.023834217872856837,0.9748281858077328,0.9748281858077328,5.46984680139542,38,0.023834217872856837,0.3757552006961951,0.1261816274525268
