,index,date,time,tweet,language,parse,Category
0,0,25/02/2022,23:59:56,"cold_peace_ equally enjoying meltdown myrule basedworld type although foreseen forewarned numerous times would happen keep expanding nato go ahead, go playing hero rouge, always wwiii",en,"cold_peace_ equally enjoying meltdown myrule basedworld type although foreseen forewarned numerous times would happen keep expanding nato go ahead, go playing hero rouge, always wwiii",_
1,1,25/02/2022,23:58:24,breaking update reports 🇯🇵ese cargo ship shelled blacksea russiaukraineconflict ukrainecrisis ukrainerussiacrisis russia wwiii russiaukrainecrisis,en,breaking update reports 🇯🇵ese cargo ship shelled blacksea russiaukraineconflict ukrainecrisis ukrainerussiacrisis russia wwiii russiaukrainecrisis,_
2,2,25/02/2022,23:58:24,let's help team ukraine fight ukraine russia wwiii,en,let's help team ukraine fight ukraine russia wwiii,_
3,3,25/02/2022,23:58:11,"russia attackedshot japan ship, japan nato member… wwiii",en,"russia attackedshot japan ship, japan nato member… wwiii",_
4,4,25/02/2022,23:57:19,astro4earth that's love space explorationit sorts everything focus important humanitythat's drive us everythingthe preservation life one planet stock ukrainerussia poutine nato ukrainewar wwiii,en,astro4earth that's love space explorationit sorts everything focus important humanitythat's drive us everythingthe preservation life one planet stock ukrainerussia poutine nato ukrainewar wwiii,_
5,5,25/02/2022,23:57:10,"russian losses now, according 🇺🇦ukraines military 14 airplanes 8 helicopters 102 tanks 536 armored cars, 15 artillery pieces, 1 buk1 system, 3,500 killed, nearly 200 taken prisoner nato russia russiainvadesukraine russianinvasion russianinvasion worldwar3 wwiii",en,"russian losses now, according 🇺🇦ukraines military 14 airplanes 8 helicopters 102 tanks 536 armored cars, 15 artillery pieces, 1 buk1 system, 3,500 killed, nearly 200 taken prisoner nato russia russiainvadesukraine russianinvasion russianinvasion worldwar3 wwiii",_
6,6,25/02/2022,23:56:33,"🙏🏽🇺🇦 nato delivers ammunition ukraine, disregarding putins threats ukraine ukrainerussia ukraineinvasion ukrainerussiacrisis ukraineunderattack worldwar3 worldwariii wwiii",en,"🙏🏽🇺🇦 nato delivers ammunition ukraine, disregarding putins threats ukraine ukrainerussia ukraineinvasion ukrainerussiacrisis ukraineunderattack worldwar3 worldwariii wwiii",_
7,7,25/02/2022,23:56:32,"timjudah1 wwiii worldwar3 ukraineinvasion ukrainewar kyiv anyone ukraine sees can't imagine like; however, let say share tears war anxiety underground; threat nuclear attack usa putin",en,"timjudah1 wwiii worldwar3 ukraineinvasion ukrainewar kyiv anyone ukraine sees can't imagine like; however, let say share tears war anxiety underground; threat nuclear attack usa putin",_
8,8,25/02/2022,23:55:37,"57365 never stop learning; learn books; learn others; learn serving others; learn experience humble, lifelong learner, excel every field life inspirationaltheater impact365 2022goals putin china wwiii accra",en,"57365 never stop learning; learn books; learn others; learn serving others; learn experience humble, lifelong learner, excel every field life inspirationaltheater impact365 2022goals putin china wwiii accra",_
9,9,25/02/2022,23:55:33,military capabilities russia ukraine russiaukraineconflict wwiii russian ukraine vladimirputin putin,en,military capabilities russia ukraine russiaukraineconflict wwiii russian ukraine vladimirputin putin,_
