,index,date,time,tweet,language,parse,Category
0,0,25/02/2022,23:59:56,cold_peace_ equally enjoying meltdown myrule basedworld type although foreseen forewarned numerous times happen keep expanding ahead playing hero rouge always,en,cold_peace_ equally enjoying meltdown myrule basedworld type although foreseen forewarned numerous times happen keep expanding ahead playing hero rouge always,_
1,1,25/02/2022,23:58:24,update reports 🇯🇵ese cargo ship shelled blacksea ukrainecrisis russiaukrainecrisis,en,update reports 🇯🇵ese cargo ship shelled blacksea ukrainecrisis russiaukrainecrisis,_
2,2,25/02/2022,23:58:24,lets help team fight,en,lets help team fight,_
3,3,25/02/2022,23:58:11,attackedshot japan ship japan member…,en,attackedshot japan ship japan member…,_
4,4,25/02/2022,23:57:19,astro4earth thats love space explorationit sorts everything focus important humanitythats drive everythingthe preservation life planet stock poutine,en,astro4earth thats love space explorationit sorts everything focus important humanitythats drive everythingthe preservation life planet stock poutine,_
5,5,25/02/2022,23:57:10,losses according ukraines 14 airplanes 8 helicopters 102 tanks 536 armored cars 15 artillery pieces 1 buk1 system 3500 killed nearly 200 taken prisoner russiainvadesukraine russianinvasion russianinvasion,en,losses according ukraines 14 airplanes 8 helicopters 102 tanks 536 armored cars 15 artillery pieces 1 buk1 system 3500 killed nearly 200 taken prisoner russiainvadesukraine russianinvasion russianinvasion,_
6,6,25/02/2022,23:56:33,🙏🏽 delivers ammunition disregarding putins threats,en,🙏🏽 delivers ammunition disregarding putins threats,_
7,7,25/02/2022,23:56:32,timjudah1 anyone sees cant imagine like; however let say share tears anxiety underground; threat attack,en,timjudah1 anyone sees cant imagine like; however let say share tears anxiety underground; threat attack,_
8,8,25/02/2022,23:55:37,57365 never learning; learn books; learn others; learn serving others; learn experience humble lifelong learner youll excel every field life inspirationaltheater impact365 2022goals accra,en,57365 never learning; learn books; learn others; learn serving others; learn experience humble lifelong learner youll excel every field life inspirationaltheater impact365 2022goals accra,_
9,9,25/02/2022,23:55:33,capabilities vladimirputin,en,capabilities vladimirputin,_
10,10,25/02/2022,23:55:23,two young children sending soldiers fight russians ukraineconflict russianinvasion,en,two young children sending soldiers fight russians ukraineconflict russianinvasion,_
