,tweet,parse
0,"@ericguth50 @proceso A Webo, culpa gatell mandarle soldados partirle madre irresponsables? Que quieres ? Que mande GN cuide crías ? Jaja nmms","@ericguth50 @proceso A Webo, culpa gatell mandarle soldados partirle madre irresponsables? Que quieres ? Que mande GN cuide crías ? Jaja nmms"
1,"Las críticas Gatell recordatorio mal manejo crisis sanitaria #Covid_19mx autoridades Salud. Debería avergonzarles menos merecen familias personas fallecidas disculpa pública, incapacidad. #100MilMuertos","Las críticas Gatell recordatorio mal manejo crisis sanitaria #Covid_19mx autoridades Salud. Debería avergonzarles menos merecen familias personas fallecidas disculpa pública, incapacidad. #100MilMuertos"
2,"@politicomx @zoerobledo @SSalud_mx @m_ebrard @LillyTellez @Mzavalagc @MarkoCortes Metase cabecita pandemia lleva 2 años usted si, 2 años solo sido excusas culpando anteriores, usted asuma responsabilidades hartos pretexto póngase trabajar inútil Gatell corralo sirve.","@politicomx @zoerobledo @SSalud_mx @m_ebrard @LillyTellez @Mzavalagc @MarkoCortes Metase cabecita pandemia lleva 2 años usted si, 2 años solo sido excusas culpando anteriores, usted asuma responsabilidades hartos pretexto póngase trabajar inútil Gatell corralo sirve."
3,"La terquedad presidente cinismo irresponsabilidad Gatell, duplicarán cifra oficial.","La terquedad presidente cinismo irresponsabilidad Gatell, duplicarán cifra oficial."
4,"@Jorge_Ugalde Es pen&amp;{^% parado manos! 😡 Gatell queda atras! Vamos darles dos dipblomas, pendejo si pierde","@Jorge_Ugalde Es pen&amp;{^% parado manos! 😡 Gatell queda atras! Vamos darles dos dipblomas, pendejo si pierde"
5,"@MBM2719 Buen punto. Pero común, importante autoridad sanitaria avalara uso cubrebocas, déjame decirte tristemente conozco personas objetaban Secretario Gatell dicho necesario.","@MBM2719 Buen punto. Pero común, importante autoridad sanitaria avalara uso cubrebocas, déjame decirte tristemente conozco personas objetaban Secretario Gatell dicho necesario."
6,"Dijo 6,000 decesos superamos 100,000 reconocidos; 300,000 reales. Nunca encontró ""pico"". En único CASI atina Titino Gatell dijo pandemia terminaría ""más menos"" 18 abril. Nada equivocó año pndejo.","Dijo 6,000 decesos superamos 100,000 reconocidos; 300,000 reales. Nunca encontró ""pico"". En único CASI atina Titino Gatell dijo pandemia terminaría ""más menos"" 18 abril. Nada equivocó año pndejo."
7,@El_Universal_Mx No acuerdo inepto López Gatell. Y hablemos López.,@El_Universal_Mx No acuerdo inepto López Gatell. Y hablemos López.
8,"Estrategia Gatell: - 9.8 ☠/ 100 casos confirmados COVID-19. Por mucho, PEOR tasa del🌏. - La tasas + ALTA mortalidad sanitarios. - De % + bajos pruebas detección - 35K ☠ estimación - 60K escenario catastrófico. - &gt; 100 mil ☠ subiendo. FRACASO TOTAL","Estrategia Gatell: - 9.8 ☠/ 100 casos confirmados COVID-19. Por mucho, PEOR tasa del🌏. - La tasas + ALTA mortalidad sanitarios. - De % + bajos pruebas detección - 35K ☠ estimación - 60K escenario catastrófico. - &gt; 100 mil ☠ subiendo. FRACASO TOTAL"
9,"@EdiMunoz3 @aracelibs Puede razón si cacas usa cubrebocas Gatell dice cubrebocas seguros, pues ponen pésimo ejemplo aparte vale verga!","@EdiMunoz3 @aracelibs Puede razón si cacas usa cubrebocas Gatell dice cubrebocas seguros, pues ponen pésimo ejemplo aparte vale verga!"
