,tweet,parse
0,"@ericguth50 @proceso A Webo, es culpa de gatell por no mandarle a los soldados a partirle la madre a muchos irresponsables? Que más quieres ? Que mande a la GN que cuide a tu crías ? Jaja nmms","@ericguth50 @proceso A Webo, es culpa de gatell por no mandarle a los soldados a partirle la madre a muchos irresponsables? Que más quieres ? Que mande a la GN que cuide a tu crías ? Jaja nmms"
1,"Las críticas contra Gatell son recordatorio del mal manejo de la crisis sanitaria del #Covid_19mx por las autoridades de Salud. Debería avergonzarles y lo menos que merecen las familias de las personas fallecidas es una disculpa pública, por su incapacidad. #100MilMuertos ","Las críticas contra Gatell son recordatorio del mal manejo de la crisis sanitaria del #Covid_19mx por las autoridades de Salud. Debería avergonzarles y lo menos que merecen las familias de las personas fallecidas es una disculpa pública, por su incapacidad. #100MilMuertos "
2,"@politicomx @zoerobledo @SSalud_mx @m_ebrard @LillyTellez @Mzavalagc @MarkoCortes Metase en su cabecita que la pandemia no lleva 2 años y usted si, y esos 2 años solo han sido de excusas culpando a los anteriores, usted ya asuma sus responsabilidades ya estamos hartos de tanto pretexto ya póngase a trabajar y al inútil de Gatell ya corralo o ni para eso sirve.","@politicomx @zoerobledo @SSalud_mx @m_ebrard @LillyTellez @Mzavalagc @MarkoCortes Metase en su cabecita que la pandemia no lleva 2 años y usted si, y esos 2 años solo han sido de excusas culpando a los anteriores, usted ya asuma sus responsabilidades ya estamos hartos de tanto pretexto ya póngase a trabajar y al inútil de Gatell ya corralo o ni para eso sirve."
3,"La terquedad del presidente y el cinismo e irresponsabilidad de Gatell, duplicarán esa cifra oficial.","La terquedad del presidente y el cinismo e irresponsabilidad de Gatell, duplicarán esa cifra oficial."
4,"@Jorge_Ugalde Es un pen&amp;{^% parado de manos! 😡 y el Gatell no se queda atras! Vamos a darles dos dipblomas, uno por pendejo y el otro por si se le pierde","@Jorge_Ugalde Es un pen&amp;{^% parado de manos! 😡 y el Gatell no se queda atras! Vamos a darles dos dipblomas, uno por pendejo y el otro por si se le pierde"
5,"@MBM2719 Buen punto. Pero para los que no tienen mucho sentido común, era importante que la autoridad sanitaria avalara el uso del cubrebocas, porque déjame decirte que tristemente conozco a personas que objetaban que el Secretario Gatell había dicho que no era necesario.","@MBM2719 Buen punto. Pero para los que no tienen mucho sentido común, era importante que la autoridad sanitaria avalara el uso del cubrebocas, porque déjame decirte que tristemente conozco a personas que objetaban que el Secretario Gatell había dicho que no era necesario."
6,"Dijo que 6,000 decesos y ya superamos los 100,000 reconocidos; 300,000 reales. Nunca encontró el ""pico"". En lo único que CASI le atina Titino Gatell es cuando dijo que la pandemia terminaría ""más o menos"" el 18 de abril. Nada más se equivocó por un año el pndejo.","Dijo que 6,000 decesos y ya superamos los 100,000 reconocidos; 300,000 reales. Nunca encontró el ""pico"". En lo único que CASI le atina Titino Gatell es cuando dijo que la pandemia terminaría ""más o menos"" el 18 de abril. Nada más se equivocó por un año el pndejo."
7,@El_Universal_Mx No estoy de acuerdo es un inepto López Gatell. Y ya no hablemos del otro López.,@El_Universal_Mx No estoy de acuerdo es un inepto López Gatell. Y ya no hablemos del otro López.
8,"Estrategia Gatell: - 9.8 ☠/ 100 casos confirmados de COVID-19. Por mucho, la PEOR tasa del🌏. - La tasas + ALTA de mortalidad entre sanitarios. - De los % + bajos de pruebas de detección - 35K ☠ estimación - 60K escenario catastrófico. - &gt; 100 mil ☠ y subiendo. FRACASO TOTAL ","Estrategia Gatell: - 9.8 ☠/ 100 casos confirmados de COVID-19. Por mucho, la PEOR tasa del🌏. - La tasas + ALTA de mortalidad entre sanitarios. - De los % + bajos de pruebas de detección - 35K ☠ estimación - 60K escenario catastrófico. - &gt; 100 mil ☠ y subiendo. FRACASO TOTAL "
9,"@EdiMunoz3 @aracelibs Puede que tengas razón pero si el cacas no usa cubrebocas y Gatell dice que los cubrebocas no son seguros, pues ponen un pésimo ejemplo más aparte que nos vale verga!","@EdiMunoz3 @aracelibs Puede que tengas razón pero si el cacas no usa cubrebocas y Gatell dice que los cubrebocas no son seguros, pues ponen un pésimo ejemplo más aparte que nos vale verga!"
